scan_id,bag_tag_number,passenger_id,flight_id,scan_location,scan_ts,scan_status,connecting_flight_id
SCN00000033,BT74381921,PAX07713,FLT00370,AIRCRAFT_UNLOAD,2024-01-15T18:02:00,OK,
SCN00000034,BT62353371,PAX05635,FLT00362,AIRCRAFT_LOAD,2024-01-15T10:31:00,OK,
SCN00000035,BT88666938,PAX03073,FLT00031,CHECK_IN,2024-01-15T03:54:00,OK,
SCN00000036,BT59586582,PAX03590,FLT00146,CHECK_IN,2024-01-15T18:06:00,OK,
SCN00000037,BT19930603,PAX02659,FLT00397,CAROUSEL,2024-01-15T16:07:00,OK,
SCN00000038,BT89162732,PAX02449,FLT00294,SCREENING,2024-01-15T21:10:00,OK,
SCN00000039,BT54002223,PAX04692,FLT00280,TRANSFER_BELT,2024-01-15T10:53:00,MISREAD,FLT00272
SCN00000040,BT49113647,PAX05649,FLT00012,SCREENING,2024-01-15T04:19:00,OK,
SCN00000041,BT58483417,PAX07415,FLT00396,AIRCRAFT_LOAD,2024-01-15T09:19:00,OK,
SCN00000042,BT40558998,PAX03775,FLT00186,MAKEUP_BELT,2024-01-15T08:47:00,OK,
SCN00000043,BT13105571,PAX01150,FLT00062,CAROUSEL,2024-01-15T16:01:00,EXCEPTION,
SCN00000044,BT75277802,PAX06539,FLT00025,TRANSFER_BELT,2024-01-15T20:02:00,OK,FLT00264
SCN00000045,BT60126880,PAX00133,FLT00290,AIRCRAFT_LOAD,2024-01-15T03:05:00,MISREAD,
SCN00000046,BT53898593,PAX06473,FLT00276,AIRCRAFT_LOAD,2024-01-15T11:38:00,MISREAD,
SCN00000047,BT19007281,PAX06017,FLT00039,AIRCRAFT_UNLOAD,2024-01-15T05:08:00,MISREAD,
SCN00000048,BT81371946,PAX01297,FLT00263,TRANSFER_BELT,2024-01-15T04:59:00,MISREAD,FLT00240
SCN00000049,BT91877039,PAX05327,FLT00098,TRANSFER_BELT,2024-01-15T04:29:00,EXCEPTION,FLT00143
SCN00000050,BT72507231,PAX03697,FLT00379,SCREENING,2024-01-15T13:16:00,OK,
SCN00000051,BT87205227,PAX02784,FLT00233,AIRCRAFT_UNLOAD,2024-01-15T16:45:00,OK,
SCN00000052,BT49435019,PAX00053,FLT00320,TRANSFER_BELT,2024-01-15T15:18:00,OK,FLT00005
SCN00000053,BT40229850,PAX02641,FLT00219,SCREENING,2024-01-15T10:50:00,OK,
SCN00000054,BT53838097,PAX04362,FLT00235,CAROUSEL,2024-01-15T08:50:00,MISREAD,
SCN00000055,BT87424312,PAX01251,FLT00097,TRANSFER_BELT,2024-01-15T07:03:00,OK,FLT00159
SCN00000056,BT34372157,PAX00827,FLT00014,AIRCRAFT_UNLOAD,2024-01-15T22:32:00,OK,
SCN00000057,BT82487807,PAX02856,FLT00036,MAKEUP_BELT,2024-01-15T12:45:00,OK,
SCN00000058,BT37071907,PAX02482,FLT00084,AIRCRAFT_LOAD,2024-01-15T11:15:00,OK,
SCN00000059,BT39156896,PAX06328,FLT00182,CHECK_IN,2024-01-15T06:41:00,EXCEPTION,FLT00194
SCN00000060,BT13412336,PAX03637,FLT00381,TRANSFER_BELT,2024-01-15T09:07:00,EXCEPTION,FLT00026
SCN00000061,BT69970143,PAX03593,FLT00205,SCREENING,2024-01-15T09:01:00,EXCEPTION,
SCN00000062,BT26730148,PAX00761,FLT00090,AIRCRAFT_UNLOAD,2024-01-15T21:44:00,MISREAD,
SCN00000063,BT38137132,PAX00986,FLT00251,CAROUSEL,2024-01-15T22:38:00,OK,
SCN00000064,BT52530857,PAX03401,FLT00098,SCREENING,2024-01-15T05:05:00,MISREAD,
SCN00000065,BT44263710,PAX04168,FLT00058,AIRCRAFT_LOAD,2024-01-15T02:33:00,OK,
SCN00000066,BT66373318,PAX03280,FLT00052,MAKEUP_BELT,2024-01-15T14:18:00,OK,
SCN00000067,BT68270476,PAX07750,FLT00334,MAKEUP_BELT,2024-01-15T09:49:00,OK,
SCN00000068,BT62302797,PAX07176,FLT00242,CHECK_IN,2024-01-15T11:22:00,OK,FLT00128
SCN00000069,BT33804639,PAX04626,FLT00005,SCREENING,2024-01-15T19:42:00,OK,
SCN00000070,BT73057193,PAX06245,FLT00020,CHECK_IN,2024-01-15T22:21:00,OK,
SCN00000071,BT98711501,PAX02401,FLT00191,AIRCRAFT_UNLOAD,2024-01-15T16:09:00,OK,
SCN00000072,BT33439445,PAX07671,FLT00266,SCREENING,2024-01-15T08:11:00,OK,
SCN00000073,BT24682288,PAX06444,FLT00084,CHECK_IN,2024-01-15T18:58:00,OK,
SCN00000074,BT93928021,PAX03058,FLT00136,AIRCRAFT_UNLOAD,2024-01-15T12:57:00,OK,
SCN00000075,BT54504189,PAX00234,FLT00241,CHECK_IN,2024-01-15T06:55:00,EXCEPTION,FLT00194
SCN00000076,BT90330313,PAX05919,FLT00269,SCREENING,2024-01-15T07:23:00,OK,
SCN00000077,BT39890245,PAX00755,FLT00215,CHECK_IN,2024-01-15T05:50:00,EXCEPTION,
SCN00000078,BT65710670,PAX07014,FLT00275,AIRCRAFT_LOAD,2024-01-15T06:35:00,MISREAD,
SCN00000079,BT10096855,PAX02552,FLT00244,AIRCRAFT_LOAD,2024-01-15T10:46:00,OK,
SCN00000080,BT82475706,PAX02995,FLT00315,CAROUSEL,2024-01-15T05:17:00,EXCEPTION,
SCN00000081,BT86670472,PAX01608,FLT00065,SCREENING,2024-01-15T19:34:00,OK,
SCN00000082,BT29138848,PAX01848,FLT00338,CHECK_IN,2024-01-15T05:14:00,EXCEPTION,
SCN00000083,BT92545856,PAX00863,FLT00128,SCREENING,2024-01-15T10:33:00,OK,
SCN00000084,BT50414051,PAX02693,FLT00364,AIRCRAFT_LOAD,2024-01-15T22:09:00,MISREAD,
SCN00000085,BT45799340,PAX06226,FLT00068,MAKEUP_BELT,2024-01-15T16:24:00,OK,
SCN00000086,BT87761531,PAX06033,FLT00018,CAROUSEL,2024-01-15T15:08:00,OK,
SCN00000087,BT34450775,PAX00118,FLT00074,CAROUSEL,2024-01-15T03:09:00,OK,
SCN00000088,BT53289563,PAX00096,FLT00293,AIRCRAFT_LOAD,2024-01-15T18:30:00,OK,
SCN00000089,BT87470671,PAX03324,FLT00232,SCREENING,2024-01-15T17:28:00,MISREAD,
SCN00000090,BT69037412,PAX00966,FLT00382,MAKEUP_BELT,2024-01-15T19:33:00,OK,
SCN00000091,BT35007366,PAX02092,FLT00175,TRANSFER_BELT,2024-01-15T18:38:00,MISREAD,FLT00235
SCN00000092,BT99019649,PAX00791,FLT00343,TRANSFER_BELT,2024-01-15T13:41:00,MISREAD,FLT00135
SCN00000093,BT18471523,PAX06406,FLT00188,AIRCRAFT_LOAD,2024-01-15T23:55:00,OK,
SCN00000094,BT26942058,PAX00775,FLT00117,AIRCRAFT_LOAD,2024-01-15T05:47:00,OK,
SCN00000095,BT49689985,PAX01035,FLT00178,MAKEUP_BELT,2024-01-15T17:26:00,EXCEPTION,
SCN00000096,BT21135674,PAX07916,FLT00259,SCREENING,2024-01-15T15:34:00,MISREAD,
SCN00000097,BT39777154,PAX06357,FLT00009,SCREENING,2024-01-15T14:04:00,MISREAD,
SCN00000098,BT30370384,PAX04612,FLT00272,AIRCRAFT_UNLOAD,2024-01-15T03:36:00,MISREAD,
SCN00000099,BT40926924,PAX05683,FLT00272,SCREENING,2024-01-15T14:46:00,OK,
SCN00000100,BT32231222,PAX05202,FLT00325,TRANSFER_BELT,2024-01-15T23:06:00,OK,FLT00386
SCN00000101,BT30407950,PAX04431,FLT00313,AIRCRAFT_LOAD,2024-01-15T08:54:00,OK,
SCN00000102,BT63804242,PAX02429,FLT00200,AIRCRAFT_UNLOAD,2024-01-15T16:22:00,EXCEPTION,
SCN00000103,BT28269700,PAX05911,FLT00154,CHECK_IN,2024-01-15T04:33:00,OK,
SCN00000104,BT99673571,PAX02553,FLT00107,CAROUSEL,2024-01-15T22:55:00,MISREAD,
SCN00000105,BT17948672,PAX06187,FLT00211,SCREENING,2024-01-15T06:54:00,EXCEPTION,
SCN00000106,BT42542841,PAX03206,FLT00082,CAROUSEL,2024-01-15T16:18:00,EXCEPTION,
SCN00000107,BT43362943,PAX06835,FLT00180,CHECK_IN,2024-01-15T09:43:00,OK,FLT00207
SCN00000108,BT26572053,PAX05948,FLT00379,AIRCRAFT_UNLOAD,2024-01-15T07:10:00,OK,
SCN00000109,BT46972997,PAX06231,FLT00168,CHECK_IN,2024-01-15T23:44:00,OK,
SCN00000110,BT80362430,PAX00841,FLT00396,CAROUSEL,2024-01-15T22:25:00,EXCEPTION,
SCN00000111,BT68823870,PAX02448,FLT00064,AIRCRAFT_UNLOAD,2024-01-15T22:49:00,EXCEPTION,
SCN00000112,BT55818870,PAX07170,FLT00140,CHECK_IN,2024-01-15T15:01:00,OK,FLT00240
SCN00000113,BT67164749,PAX04793,FLT00087,CAROUSEL,2024-01-15T18:37:00,OK,
SCN00000114,BT23831159,PAX00726,FLT00375,AIRCRAFT_UNLOAD,2024-01-15T22:26:00,OK,
SCN00000115,BT99242791,PAX04052,FLT00360,AIRCRAFT_LOAD,2024-01-15T16:23:00,OK,
SCN00000116,BT47608285,PAX06901,FLT00371,CAROUSEL,2024-01-15T11:24:00,OK,
SCN00000117,BT54134771,PAX03438,FLT00342,TRANSFER_BELT,2024-01-15T10:34:00,OK,FLT00043
SCN00000118,BT11734913,PAX00829,FLT00366,TRANSFER_BELT,2024-01-15T18:34:00,OK,FLT00300
SCN00000119,BT76434565,PAX01814,FLT00303,AIRCRAFT_LOAD,2024-01-15T11:04:00,OK,
SCN00000120,BT75479724,PAX04594,FLT00311,TRANSFER_BELT,2024-01-15T21:18:00,EXCEPTION,FLT00312
SCN00000121,BT79654542,PAX07131,FLT00342,AIRCRAFT_LOAD,2024-01-15T03:26:00,MISREAD,
SCN00000122,BT96258750,PAX07816,FLT00051,AIRCRAFT_UNLOAD,2024-01-15T05:14:00,OK,
SCN00000123,BT42026271,PAX02955,FLT00298,CAROUSEL,2024-01-15T22:36:00,EXCEPTION,
SCN00000124,BT15350579,PAX02846,FLT00332,TRANSFER_BELT,2024-01-15T17:01:00,EXCEPTION,FLT00294
SCN00000125,BT80164383,PAX00306,FLT00205,TRANSFER_BELT,2024-01-15T23:26:00,EXCEPTION,FLT00344
SCN00000126,BT13441419,PAX01770,FLT00291,SCREENING,2024-01-15T02:49:00,OK,
SCN00000127,BT65317019,PAX06570,FLT00015,CAROUSEL,2024-01-15T17:35:00,OK,
SCN00000128,BT56177572,PAX02887,FLT00128,MAKEUP_BELT,2024-01-15T17:13:00,OK,
SCN00000129,BT95202397,PAX02156,FLT00394,TRANSFER_BELT,2024-01-15T07:28:00,OK,FLT00286
SCN00000130,BT83454371,PAX05311,FLT00165,CAROUSEL,2024-01-15T15:41:00,OK,
SCN00000131,BT33093235,PAX06920,FLT00256,TRANSFER_BELT,2024-01-15T05:02:00,OK,FLT00181
SCN00000132,BT92732173,PAX04410,FLT00379,TRANSFER_BELT,2024-01-15T09:46:00,OK,FLT00157
SCN00000133,BT23596009,PAX07489,FLT00370,CHECK_IN,2024-01-15T23:49:00,EXCEPTION,
SCN00000134,BT76732073,PAX05239,FLT00096,TRANSFER_BELT,2024-01-15T15:03:00,OK,FLT00137
SCN00000135,BT75154738,PAX02873,FLT00173,TRANSFER_BELT,2024-01-15T16:56:00,OK,FLT00388
SCN00000136,BT31369793,PAX07859,FLT00087,MAKEUP_BELT,2024-01-15T02:32:00,OK,
SCN00000137,BT51678306,PAX07446,FLT00260,CAROUSEL,2024-01-15T23:55:00,MISREAD,
SCN00000138,BT85151359,PAX04410,FLT00092,AIRCRAFT_LOAD,2024-01-15T23:06:00,OK,
SCN00000139,BT22152370,PAX05830,FLT00307,CAROUSEL,2024-01-15T15:48:00,OK,
SCN00000140,BT55656032,PAX04365,FLT00182,AIRCRAFT_LOAD,2024-01-15T06:32:00,EXCEPTION,
SCN00000141,BT49448235,PAX05026,FLT00292,CHECK_IN,2024-01-15T13:03:00,OK,
SCN00000142,BT15472438,PAX02015,FLT00281,SCREENING,2024-01-15T11:20:00,OK,
SCN00000143,BT39390348,PAX02010,FLT00116,AIRCRAFT_LOAD,2024-01-15T09:22:00,OK,
SCN00000144,BT42706202,PAX07902,FLT00011,TRANSFER_BELT,2024-01-15T22:53:00,EXCEPTION,FLT00226
SCN00000145,BT65636716,PAX04558,FLT00283,AIRCRAFT_UNLOAD,2024-01-15T08:33:00,EXCEPTION,
SCN00000146,BT79601473,PAX04759,FLT00205,CAROUSEL,2024-01-15T21:38:00,EXCEPTION,
SCN00000147,BT58851081,PAX06582,FLT00135,AIRCRAFT_LOAD,2024-01-15T14:38:00,OK,
SCN00000148,BT41501680,PAX02623,FLT00277,MAKEUP_BELT,2024-01-15T04:37:00,OK,
SCN00000149,BT43137733,PAX06518,FLT00276,AIRCRAFT_UNLOAD,2024-01-15T06:23:00,OK,
SCN00000150,BT78109300,PAX05803,FLT00244,AIRCRAFT_UNLOAD,2024-01-15T12:42:00,OK,
SCN00000151,BT91079800,PAX01867,FLT00369,MAKEUP_BELT,2024-01-16T00:00:00,MISREAD,
SCN00000152,BT40059912,PAX03812,FLT00138,AIRCRAFT_UNLOAD,2024-01-15T03:48:00,EXCEPTION,
SCN00000153,BT76724054,PAX04842,FLT00224,CHECK_IN,2024-01-15T07:50:00,OK,
SCN00000154,BT85027178,PAX05328,FLT00030,MAKEUP_BELT,2024-01-15T18:16:00,OK,FLT00183
SCN00000155,BT18779551,PAX07822,FLT00369,MAKEUP_BELT,2024-01-15T21:26:00,OK,
SCN00000156,BT13701318,PAX05846,FLT00307,AIRCRAFT_LOAD,2024-01-15T16:42:00,OK,
SCN00000157,BT38884210,PAX05422,FLT00232,MAKEUP_BELT,2024-01-15T20:22:00,OK,
SCN00000158,BT86484960,PAX06541,FLT00261,AIRCRAFT_LOAD,2024-01-15T06:55:00,MISREAD,
SCN00000159,BT88768688,PAX02577,FLT00004,AIRCRAFT_UNLOAD,2024-01-15T03:48:00,OK,
SCN00000160,BT19531256,PAX05029,FLT00033,AIRCRAFT_UNLOAD,2024-01-15T16:07:00,OK,
SCN00000161,BT43393307,PAX04928,FLT00397,TRANSFER_BELT,2024-01-15T08:07:00,OK,FLT00016
SCN00000162,BT97161933,PAX07609,FLT00254,CAROUSEL,2024-01-15T06:04:00,OK,
SCN00000163,BT64164273,PAX04703,FLT00359,CAROUSEL,2024-01-15T15:13:00,EXCEPTION,
SCN00000164,BT73673905,PAX01135,FLT00176,SCREENING,2024-01-15T05:16:00,OK,
SCN00000165,BT67762060,PAX07202,FLT00130,AIRCRAFT_LOAD,2024-01-15T05:05:00,OK,
SCN00000166,BT36925055,PAX01857,FLT00180,CAROUSEL,2024-01-15T23:36:00,OK,
SCN00000167,BT22620209,PAX04292,FLT00132,CHECK_IN,2024-01-15T22:41:00,OK,
SCN00000168,BT17938468,PAX05593,FLT00192,CHECK_IN,2024-01-15T07:45:00,OK,
SCN00000169,BT81017414,PAX00104,FLT00003,MAKEUP_BELT,2024-01-15T15:07:00,OK,FLT00292
SCN00000170,BT85613530,PAX03071,FLT00036,SCREENING,2024-01-15T08:26:00,MISREAD,
SCN00000171,BT81835206,PAX01789,FLT00177,CHECK_IN,2024-01-15T07:16:00,MISREAD,
SCN00000172,BT33746912,PAX07303,FLT00226,CAROUSEL,2024-01-15T08:03:00,MISREAD,
SCN00000173,BT69741176,PAX00249,FLT00319,CHECK_IN,2024-01-15T20:20:00,OK,
SCN00000174,BT51831014,PAX07660,FLT00150,CHECK_IN,2024-01-15T13:54:00,OK,
SCN00000175,BT32466075,PAX07375,FLT00052,AIRCRAFT_LOAD,2024-01-15T08:35:00,MISREAD,
SCN00000176,BT92301184,PAX07537,FLT00173,AIRCRAFT_LOAD,2024-01-15T20:42:00,EXCEPTION,
SCN00000177,BT25620477,PAX05479,FLT00284,CHECK_IN,2024-01-15T13:32:00,OK,
SCN00000178,BT42138616,PAX07868,FLT00252,SCREENING,2024-01-15T15:47:00,OK,
SCN00000179,BT74481336,PAX06643,FLT00338,CAROUSEL,2024-01-15T22:10:00,OK,
SCN00000180,BT22207568,PAX05436,FLT00336,MAKEUP_BELT,2024-01-15T19:59:00,MISREAD,
SCN00000181,BT81393856,PAX04274,FLT00202,TRANSFER_BELT,2024-01-15T20:38:00,OK,FLT00145
SCN00000182,BT52992142,PAX01110,FLT00230,TRANSFER_BELT,2024-01-15T08:45:00,OK,FLT00322
SCN00000183,BT67219594,PAX03312,FLT00223,AIRCRAFT_LOAD,2024-01-15T04:48:00,EXCEPTION,
SCN00000184,BT24001392,PAX02634,FLT00288,AIRCRAFT_LOAD,2024-01-15T22:48:00,EXCEPTION,
SCN00000185,BT48546517,PAX06315,FLT00351,CAROUSEL,2024-01-15T03:52:00,MISREAD,
SCN00000186,BT35243522,PAX07757,FLT00046,MAKEUP_BELT,2024-01-15T22:03:00,MISREAD,
SCN00000187,BT96024494,PAX02570,FLT00379,CHECK_IN,2024-01-15T20:14:00,OK,FLT00156
SCN00000188,BT61660590,PAX01543,FLT00181,AIRCRAFT_UNLOAD,2024-01-15T03:47:00,EXCEPTION,
SCN00000189,BT80328000,PAX06957,FLT00092,AIRCRAFT_UNLOAD,2024-01-15T14:39:00,OK,
SCN00000190,BT23240677,PAX03746,FLT00096,SCREENING,2024-01-15T12:55:00,OK,
SCN00000191,BT76474713,PAX01694,FLT00293,CAROUSEL,2024-01-15T22:55:00,OK,
SCN00000192,BT61202550,PAX01688,FLT00353,CHECK_IN,2024-01-15T11:54:00,OK,
SCN00000193,BT98529233,PAX06666,FLT00170,SCREENING,2024-01-15T15:18:00,OK,
SCN00000194,BT63949988,PAX00367,FLT00080,SCREENING,2024-01-15T22:26:00,OK,
SCN00000195,BT44653043,PAX07225,FLT00217,CAROUSEL,2024-01-15T21:28:00,OK,
SCN00000196,BT97689321,PAX06035,FLT00140,AIRCRAFT_LOAD,2024-01-15T02:20:00,EXCEPTION,
SCN00000197,BT60617768,PAX02279,FLT00098,TRANSFER_BELT,2024-01-15T18:39:00,OK,FLT00309
SCN00000198,BT11399851,PAX05133,FLT00355,AIRCRAFT_LOAD,2024-01-15T03:25:00,EXCEPTION,
SCN00000199,BT39927143,PAX00578,FLT00327,CHECK_IN,2024-01-15T05:56:00,OK,
SCN00000200,BT75570300,PAX00545,FLT00094,AIRCRAFT_UNLOAD,2024-01-15T13:10:00,OK,
SCN00000201,BT44426734,PAX07826,FLT00349,CAROUSEL,2024-01-15T15:35:00,OK,
SCN00000202,BT48212434,PAX07009,FLT00292,MAKEUP_BELT,2024-01-15T05:42:00,OK,
SCN00000203,BT37128906,PAX07785,FLT00045,AIRCRAFT_UNLOAD,2024-01-15T18:59:00,OK,
SCN00000204,BT14790926,PAX03842,FLT00246,CHECK_IN,2024-01-15T05:48:00,OK,FLT00199
SCN00000205,BT34760262,PAX00685,FLT00391,CAROUSEL,2024-01-15T04:18:00,OK,
SCN00000206,BT59781610,PAX03589,FLT00379,SCREENING,2024-01-15T17:05:00,MISREAD,
SCN00000207,BT98969812,PAX07649,FLT00258,TRANSFER_BELT,2024-01-15T08:27:00,OK,FLT00373
SCN00000208,BT52670676,PAX00359,FLT00292,CHECK_IN,2024-01-15T07:12:00,OK,
SCN00000209,BT43662096,PAX07552,FLT00090,MAKEUP_BELT,2024-01-15T17:46:00,OK,
SCN00000210,BT17573659,PAX03206,FLT00195,SCREENING,2024-01-15T11:57:00,MISREAD,
SCN00000211,BT34691117,PAX05139,FLT00100,MAKEUP_BELT,2024-01-15T16:58:00,OK,
SCN00000212,BT19312412,PAX06910,FLT00126,AIRCRAFT_UNLOAD,2024-01-15T20:02:00,OK,
SCN00000213,BT29241916,PAX04483,FLT00163,CHECK_IN,2024-01-15T05:48:00,OK,
SCN00000214,BT81709011,PAX00144,FLT00317,CAROUSEL,2024-01-15T07:47:00,OK,
SCN00000215,BT29258428,PAX07386,FLT00054,CAROUSEL,2024-01-15T09:58:00,OK,
SCN00000216,BT85525880,PAX00479,FLT00199,TRANSFER_BELT,2024-01-15T21:21:00,OK,FLT00115
SCN00000217,BT94327199,PAX00289,FLT00289,AIRCRAFT_UNLOAD,2024-01-15T04:31:00,OK,
SCN00000218,BT73945115,PAX07678,FLT00293,CAROUSEL,2024-01-15T15:10:00,OK,
SCN00000219,BT61911006,PAX03684,FLT00384,SCREENING,2024-01-15T18:44:00,MISREAD,
SCN00000220,BT95456101,PAX03728,FLT00246,SCREENING,2024-01-15T17:30:00,MISREAD,
SCN00000221,BT40043274,PAX01183,FLT00147,CAROUSEL,2024-01-15T07:57:00,EXCEPTION,
SCN00000222,BT31517336,PAX03016,FLT00379,CHECK_IN,2024-01-15T16:44:00,OK,FLT00236
SCN00000223,BT65079123,PAX05822,FLT00278,TRANSFER_BELT,2024-01-15T09:44:00,EXCEPTION,FLT00065
SCN00000224,BT94087394,PAX02892,FLT00107,AIRCRAFT_LOAD,2024-01-15T16:22:00,EXCEPTION,
SCN00000225,BT70708263,PAX03637,FLT00199,AIRCRAFT_LOAD,2024-01-15T14:24:00,OK,
SCN00000226,BT63537178,PAX01091,FLT00371,AIRCRAFT_UNLOAD,2024-01-15T09:01:00,OK,
SCN00000227,BT35630898,PAX04657,FLT00100,TRANSFER_BELT,2024-01-15T23:07:00,OK,FLT00239
SCN00000228,BT83578898,PAX07066,FLT00392,TRANSFER_BELT,2024-01-15T15:56:00,OK,FLT00330
SCN00000229,BT51191284,PAX01750,FLT00202,SCREENING,2024-01-15T18:03:00,OK,
SCN00000230,BT70709337,PAX02461,FLT00397,TRANSFER_BELT,2024-01-15T23:17:00,EXCEPTION,FLT00027
SCN00000231,BT36764323,PAX01780,FLT00173,AIRCRAFT_UNLOAD,2024-01-15T07:20:00,EXCEPTION,
SCN00000232,BT67953043,PAX01478,FLT00227,CHECK_IN,2024-01-15T09:02:00,EXCEPTION,
SCN00000233,BT33131189,PAX02240,FLT00382,CAROUSEL,2024-01-15T21:13:00,OK,
SCN00000234,BT87184473,PAX06405,FLT00102,SCREENING,2024-01-15T16:02:00,OK,
SCN00000235,BT27522806,PAX06248,FLT00250,MAKEUP_BELT,2024-01-15T22:50:00,MISREAD,
SCN00000236,BT94300224,PAX07176,FLT00019,CAROUSEL,2024-01-15T05:18:00,OK,
SCN00000237,BT11163490,PAX07539,FLT00028,MAKEUP_BELT,2024-01-15T05:04:00,OK,
SCN00000238,BT57874974,PAX01664,FLT00381,SCREENING,2024-01-15T09:16:00,OK,
SCN00000239,BT58712990,PAX05106,FLT00162,AIRCRAFT_UNLOAD,2024-01-15T17:14:00,EXCEPTION,
SCN00000240,BT33517361,PAX02374,FLT00156,CHECK_IN,2024-01-15T21:10:00,OK,
SCN00000241,BT30403362,PAX01338,FLT00213,CHECK_IN,2024-01-15T20:10:00,MISREAD,
SCN00000242,BT85385275,PAX04525,FLT00322,AIRCRAFT_LOAD,2024-01-15T11:35:00,OK,
SCN00000243,BT99103000,PAX07745,FLT00076,AIRCRAFT_LOAD,2024-01-15T05:18:00,OK,
SCN00000244,BT61130128,PAX03874,FLT00195,AIRCRAFT_LOAD,2024-01-15T07:49:00,OK,
SCN00000245,BT58638387,PAX07627,FLT00226,AIRCRAFT_UNLOAD,2024-01-15T21:31:00,OK,
SCN00000246,BT12665116,PAX07949,FLT00252,CAROUSEL,2024-01-15T21:20:00,OK,
SCN00000247,BT21409917,PAX07263,FLT00190,CHECK_IN,2024-01-15T08:02:00,OK,
SCN00000248,BT62830211,PAX07511,FLT00077,CHECK_IN,2024-01-15T08:43:00,OK,
SCN00000249,BT21149828,PAX02906,FLT00309,TRANSFER_BELT,2024-01-15T18:53:00,OK,FLT00320
SCN00000250,BT89231776,PAX03423,FLT00087,MAKEUP_BELT,2024-01-15T10:37:00,OK,
SCN00000251,BT79851147,PAX07408,FLT00013,AIRCRAFT_LOAD,2024-01-15T12:52:00,OK,
SCN00000252,BT42051720,PAX05739,FLT00157,MAKEUP_BELT,2024-01-15T17:19:00,EXCEPTION,
SCN00000253,BT46619501,PAX06144,FLT00389,CAROUSEL,2024-01-15T17:38:00,OK,
